video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=8oCZv3VNUOM&pp=ygUMQ2xlYW4gRW5lcmd5,/@pbsterra,PBS Terra,The Dirty Truth About Our Clean Energy Future,45K,3 weeks,"In order to develop clean energy technology, specific rare earth metals like cobalt and nickel need to be harvested. These often ...",2024-01-26 22:29:31.220709
/watch?v=nCrTsWtPVIY&pp=ygUMQ2xlYW4gRW5lcmd5,/@TomScottGo,Tom Scott,"Cheap, renewable, clean energy. There's just one problem.",2.2M,1 year,"The Bay of Fundy has cheap, clean power: if you can harness it. □ AD: ‍   NordVPN's best deal is here: ...",2024-01-26 22:29:31.223705
/watch?v=EAU5D8hqIUI&pp=ygUMQ2xlYW4gRW5lcmd5,/@TED,TED,A Faster Way to Get to a Clean Energy Future | Ramez Naam | TED,108K,9 months,"When it comes to cost, clean energy is bound to beat out fossil fuels, says technologist Ramez Naam. But the hesitancy to build ...",2024-01-26 22:29:31.240305
/watch?v=z-k5uS7ALXk&pp=ygUMQ2xlYW4gRW5lcmd5,/@Vox,Vox,How to fix clean energy’s storage problem,426K,8 months,We can't truly switch to renewable energy without a breakthrough. Subscribe and turn on notifications so you don't miss any ...,2024-01-26 22:29:31.243312
/watch?v=3gSzzuY1Yw0&pp=ygUMQ2xlYW4gRW5lcmd5,/@SecondThought,Second Thought,Green Energy Is Cheaper…So Why Aren’t We Using It?,439K,7 months,Solar energy is cheaper and more abundant than fossil fuels...so why aren't we making the switch? Why Cheap Solar Won't Save ...,2024-01-26 22:29:31.247054
/watch?v=1kUE0BZtTRc&pp=ygUMQ2xlYW4gRW5lcmd5,/@NatGeo,National Geographic,Renewable Energy 101 | National Geographic,2M,6 years,"About National Geographic: National Geographic is the world's premium destination for science, exploration, and adventure.",2024-01-26 22:29:31.254918
/watch?v=jJpCB5Puubs&pp=ygUMQ2xlYW4gRW5lcmd5,/@CNET,CNET,Breakthroughs in Clean Energy to Watch in 2023,98K,1 year,"We walk you through some of the most interesting tech aiming at a sustainable future, including new advancements in solar, ...",2024-01-26 22:29:31.263750
/watch?v=WuOBR7t1mG8&pp=ygUMQ2xlYW4gRW5lcmd5,/@TheEconomist,The Economist,Is nuclear fusion the future of clean energy?,195K,1 month,"Fusion is a kind of nuclear power, which could revolutionise how clean energy is produced. As a new wave of experiments heats ...",2024-01-26 22:29:31.267978
/watch?v=fyqDC_AKVgE&pp=ygUMQ2xlYW4gRW5lcmd5,/@CNBCi,CNBC International,Who is leading in renewable energy? | CNBC Explains,1.1M,4 years,"Around the world, governments are tapping into renewable sources to fuel the growing demand for energy. But as the ...",2024-01-26 22:29:31.271722
/watch?v=s3ScJ_FwaZk&pp=ygUMQ2xlYW4gRW5lcmd5,/@Vox,Vox,Why the US isn't ready for clean energy,2.1M,2 years,Making clean energy isn't enough: We also have to move it. Subscribe and turn on notifications (  ) so you don't miss any videos: ...,2024-01-26 22:29:31.274608
