video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=NpWy8Q_LZg0&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@edfenergy,EDF 🇬🇧,Starting a career in renewable energy enabled Jamie to make a difference in his local community,40K,1 day,EDF Renewables UK takes pride in working closely with its communities around its sites. This includes employing local people for ...,2024-01-26 22:24:47.282809
/watch?v=RnvCbquYeIM&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@TEDEd,TED-Ed,Can 100% renewable energy power the world? - Federico Rosei and Renzo Rosei,2.4M,6 years,"Every year, the world uses 35 billion barrels of oil. This massive scale of fossil fuel dependence pollutes the earth, and it won't last ...",2024-01-26 22:24:47.296053
/watch?v=UVf2Yw7uFoE&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@DWDocumentary,DW Documentary,Global renewables: Pioneering the energy transition | DW Documentary,463K,1 month,"We are facing the greatest upheaval since industrialization. To stop climate change, the energy system must be transformed ...",2024-01-26 22:24:47.299209
/watch?v=bwEIqjU2qgk&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@TED,TED,"How to Harness Abundant, Clean Energy for 10 Billion People | Julio Friedmann | TED",88K,1 month,"We can produce abundant, sustainable and cheap energy — for everyone, says physicist Julio Friedmann. He explores the ...",2024-01-26 22:24:47.307915
/watch?v=1kUE0BZtTRc&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@NatGeo,National Geographic,Renewable Energy 101 | National Geographic,2M,6 years,"About National Geographic: National Geographic is the world's premium destination for science, exploration, and adventure.",2024-01-26 22:24:47.314660
/watch?v=T4xKThjcKaE&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@studentenergy,Student Energy,Renewable Energy 101,571K,8 years,Energy sources that are not depleted when used or are naturally replenished within a human lifetime. Learn more about ...,2024-01-26 22:24:47.324752
/watch?v=fyqDC_AKVgE&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@CNBCi,CNBC International,Who is leading in renewable energy? | CNBC Explains,1.1M,4 years,"Around the world, governments are tapping into renewable sources to fuel the growing demand for energy. But as the ...",2024-01-26 22:24:55.114111
/watch?v=44Wp3WE1AHs&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@ecomasteryproject8322,EcoMastery Project,7 Types of Renewable Energy,372K,3 years,"7 Types of Renewable Energy Solar Solar energy is derived by capturing radiant energy from sunlight and converting it into heat, ...",2024-01-26 22:24:55.117178
/watch?v=3gSzzuY1Yw0&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@SecondThought,Second Thought,Green Energy Is Cheaper…So Why Aren’t We Using It?,439K,7 months,"... not price, in renewable energy https://www.tandfonline.com/doi/full/10.1080/13563467.2021.1926957 The price of solar over ...",2024-01-26 22:24:55.120672
/watch?v=VfowJHJz6-s&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@theindependent,The Independent,What is renewable energy? | Decomplicated,18K,11 months,Wind. Solar. Hydroelectric. Biomass. Renewable energy has taken root at the heart of the climate conversation. But how much do ...,2024-01-26 22:24:55.123069
/watch?v=gLvkWpnzba8&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@BBCNews,BBC News,Can the world rely on renewable energy? | Future Earth | BBC News,135K,2 months,What are the challenges the world faces in the transition to renewable energy – and what are the possible solutions? The BBC's ...,2024-01-26 22:24:55.126507
/watch?v=s3ScJ_FwaZk&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@Vox,Vox,Why the US isn't ready for clean energy,2.1M,2 years,Making clean energy isn't enough: We also have to move it. Subscribe and turn on notifications (  ) so you don't miss any videos: ...,2024-01-26 22:24:55.128939
/watch?v=N-yALPEpV4w&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@TEDx,TEDx Talks,Why renewables can’t save the planet | Michael Shellenberger | TEDxDanubia,5.4M,5 years,Environmentalists have long promoted renewable energy sources like solar panels and wind farms to save the climate. But what ...,2024-01-26 22:24:55.131625
/watch?v=4k5gyYAAEEU&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@crashcourse,CrashCourse,The Engineering Challenges of Renewable Energy: Crash Course Engineering #30,200K,5 years,"This week we are looking at renewable energy sources and why we need them. We'll explore hydropower, wind, geothermal, and ...",2024-01-26 22:24:55.135337
/watch?v=nCrTsWtPVIY&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@TomScottGo,Tom Scott,"Cheap, renewable, clean energy. There's just one problem.",2.2M,1 year,"The Bay of Fundy has cheap, clean power: if you can harness it. □ AD: ‍   NordVPN's best deal is here: ...",2024-01-26 22:24:55.137943
